PassengerId,Survived,Fare,Embarked
1,0,7.25,S
2,1,71.2833,C
3,1,7.925,S
4,1,53.1,S
5,0,8.05,S
6,0,8.4583,Q
7,0,51.8625,S
8,0,21.075,S
9,1,11.1333,S
10,1,30.0708,C
11,1,16.7,S
12,1,26.55,S
13,0,8.05,S
14,0,31.275,S
15,0,7.8542,S
16,1,16.0,S
17,0,29.125,Q
18,1,13.0,S
19,0,18.0,S
20,1,7.225,C
21,0,26.0,S
22,1,13.0,S
23,1,8.0292,Q
24,1,35.5,S
25,0,21.075,S
26,1,31.3875,S
27,0,7.225,C
28,0,263.0,S
29,1,7.8792,Q
30,0,7.8958,S
31,0,27.7208,C
32,1,146.5208,C
33,1,7.75,Q
34,0,10.5,S
35,0,82.1708,C
36,0,52.0,S
37,1,7.2292,C
38,0,8.05,S
39,0,18.0,S
40,1,11.2417,C
41,0,9.475,S
42,0,21.0,S
43,0,7.8958,C
44,1,41.5792,C
45,1,7.8792,Q
46,0,8.05,S
47,0,15.5,Q
48,1,7.75,Q
49,0,21.6792,C
50,0,17.8,S
51,0,39.6875,S
52,0,7.8,S
53,1,76.7292,C
54,1,26.0,S
55,0,61.9792,C
56,1,35.5,S
57,1,10.5,S
58,0,7.2292,C
59,1,27.75,S
60,0,46.9,S
61,0,7.2292,C
62,1,80.0,
63,0,83.475,S
64,0,27.9,S
65,0,27.7208,C
66,1,15.2458,C
67,1,10.5,S
68,0,8.1583,S
69,1,7.925,S
70,0,8.6625,S
71,0,10.5,S
72,0,46.9,S
73,0,73.5,S
74,0,14.4542,C
75,1,56.4958,S
76,0,7.65,S
77,0,7.8958,S
78,0,8.05,S
79,1,29.0,S
80,1,12.475,S
81,0,9.0,S
82,1,9.5,S
83,1,7.7875,Q
84,0,47.1,S
85,1,10.5,S
86,1,15.85,S
87,0,34.375,S
88,0,8.05,S
89,1,263.0,S
90,0,8.05,S
91,0,8.05,S
92,0,7.8542,S
93,0,61.175,S
94,0,20.575,S
95,0,7.25,S
96,0,8.05,S
97,0,34.6542,C
98,1,63.3583,C
99,1,23.0,S
100,0,26.0,S
101,0,7.8958,S
102,0,7.8958,S
103,0,77.2875,S
104,0,8.6542,S
105,0,7.925,S
106,0,7.8958,S
107,1,7.65,S
108,1,7.775,S
109,0,7.8958,S
110,1,24.15,Q
111,0,52.0,S
112,0,14.4542,C
113,0,8.05,S
114,0,9.825,S
115,0,14.4583,C
116,0,7.925,S
117,0,7.75,Q
118,0,21.0,S
119,0,247.5208,C
120,0,31.275,S
121,0,73.5,S
122,0,8.05,S
123,0,30.0708,C
124,1,13.0,S
125,0,77.2875,S
126,1,11.2417,C
127,0,7.75,Q
128,1,7.1417,S
129,1,22.3583,C
130,0,6.975,S
131,0,7.8958,C
132,0,7.05,S
133,0,14.5,S
134,1,26.0,S
135,0,13.0,S
136,0,15.0458,C
137,1,26.2833,S
138,0,53.1,S
139,0,9.2167,S
140,0,79.2,C
141,0,15.2458,C
142,1,7.75,S
143,1,15.85,S
144,0,6.75,Q
145,0,11.5,S
146,0,36.75,S
147,1,7.7958,S
148,0,34.375,S
149,0,26.0,S
150,0,13.0,S
151,0,12.525,S
152,1,66.6,S
153,0,8.05,S
154,0,14.5,S
155,0,7.3125,S
156,0,61.3792,C
157,1,7.7333,Q
158,0,8.05,S
159,0,8.6625,S
160,0,69.55,S
161,0,16.1,S
162,1,15.75,S
163,0,7.775,S
164,0,8.6625,S
165,0,39.6875,S
166,1,20.525,S
167,1,55.0,S
168,0,27.9,S
169,0,25.925,S
170,0,56.4958,S
171,0,33.5,S
172,0,29.125,Q
173,1,11.1333,S
174,0,7.925,S
175,0,30.6958,C
176,0,7.8542,S
177,0,25.4667,S
178,0,28.7125,C
179,0,13.0,S
180,0,0.0,S
181,0,69.55,S
182,0,15.05,C
183,0,31.3875,S
184,1,39.0,S
185,1,22.025,S
186,0,50.0,S
187,1,15.5,Q
188,1,26.55,S
189,0,15.5,Q
190,0,7.8958,S
191,1,13.0,S
192,0,13.0,S
193,1,7.8542,S
194,1,26.0,S
195,1,27.7208,C
196,1,146.5208,C
197,0,7.75,Q
198,0,8.4042,S
199,1,7.75,Q
200,0,13.0,S
201,0,9.5,S
202,0,69.55,S
203,0,6.4958,S
204,0,7.225,C
205,1,8.05,S
206,0,10.4625,S
207,0,15.85,S
208,1,18.7875,C
209,1,7.75,Q
210,1,31.0,C
211,0,7.05,S
212,1,21.0,S
213,0,7.25,S
214,0,13.0,S
215,0,7.75,Q
216,1,113.275,C
217,1,7.925,S
218,0,27.0,S
219,1,76.2917,C
220,0,10.5,S
221,1,8.05,S
222,0,13.0,S
223,0,8.05,S
224,0,7.8958,S
225,1,90.0,S
226,0,9.35,S
227,1,10.5,S
228,0,7.25,S
229,0,13.0,S
230,0,25.4667,S
231,1,83.475,S
232,0,7.775,S
233,0,13.5,S
234,1,31.3875,S
235,0,10.5,S
236,0,7.55,S
237,0,26.0,S
238,1,26.25,S
239,0,10.5,S
240,0,12.275,S
241,0,14.4542,C
242,1,15.5,Q
243,0,10.5,S
244,0,7.125,S
245,0,7.225,C
246,0,90.0,Q
247,0,7.775,S
248,1,14.5,S
249,1,52.5542,S
250,0,26.0,S
251,0,7.25,S
252,0,10.4625,S
253,0,26.55,S
254,0,16.1,S
255,0,20.2125,S
256,1,15.2458,C
257,1,79.2,C
258,1,86.5,S
259,1,512.3292,C
260,1,26.0,S
261,0,7.75,Q
262,1,31.3875,S
263,0,79.65,S
264,0,0.0,S
265,0,7.75,Q
266,0,10.5,S
267,0,39.6875,S
268,1,7.775,S
269,1,153.4625,S
270,1,135.6333,S
271,0,31.0,S
272,1,0.0,S
273,1,19.5,S
274,0,29.7,C
275,1,7.75,Q
276,1,77.9583,S
277,0,7.75,S
278,0,0.0,S
279,0,29.125,Q
280,1,20.25,S
281,0,7.75,Q
282,0,7.8542,S
283,0,9.5,S
284,1,8.05,S
285,0,26.0,S
286,0,8.6625,C
287,1,9.5,S
288,0,7.8958,S
289,1,13.0,S
290,1,7.75,Q
291,1,78.85,S
292,1,91.0792,C
293,0,12.875,C
294,0,8.85,S
295,0,7.8958,S
296,0,27.7208,C
297,0,7.2292,C
298,0,151.55,S
299,1,30.5,S
300,1,247.5208,C
301,1,7.75,Q
302,1,23.25,Q
303,0,0.0,S
304,1,12.35,Q
305,0,8.05,S
306,1,151.55,S
307,1,110.8833,C
308,1,108.9,C
309,0,24.0,C
310,1,56.9292,C
311,1,83.1583,C
312,1,262.375,C
313,0,26.0,S
314,0,7.8958,S
315,0,26.25,S
316,1,7.8542,S
317,1,26.0,S
318,0,14.0,S
319,1,164.8667,S
320,1,134.5,C
321,0,7.25,S
322,0,7.8958,S
323,1,12.35,Q
324,1,29.0,S
325,0,69.55,S
326,1,135.6333,C
327,0,6.2375,S
328,1,13.0,S
329,1,20.525,S
330,1,57.9792,C
331,1,23.25,Q
332,0,28.5,S
333,0,153.4625,S
334,0,18.0,S
335,1,133.65,S
336,0,7.8958,S
337,0,66.6,S
338,1,134.5,C
339,1,8.05,S
340,0,35.5,S
341,1,26.0,S
342,1,263.0,S
343,0,13.0,S
344,0,13.0,S
345,0,13.0,S
346,1,13.0,S
347,1,13.0,S
348,1,16.1,S
349,1,15.9,S
350,0,8.6625,S
351,0,9.225,S
352,0,35.0,S
353,0,7.2292,C
354,0,17.8,S
355,0,7.225,C
356,0,9.5,S
357,1,55.0,S
358,0,13.0,S
359,1,7.8792,Q
360,1,7.8792,Q
361,0,27.9,S
362,0,27.7208,C
363,0,14.4542,C
364,0,7.05,S
365,0,15.5,Q
366,0,7.25,S
367,1,75.25,C
368,1,7.2292,C
369,1,7.75,Q
370,1,69.3,C
371,1,55.4417,C
372,0,6.4958,S
373,0,8.05,S
374,0,135.6333,C
375,0,21.075,S
376,1,82.1708,C
377,1,7.25,S
378,0,211.5,C
379,0,4.0125,C
380,0,7.775,S
381,1,227.525,C
382,1,15.7417,C
383,0,7.925,S
384,1,52.0,S
385,0,7.8958,S
386,0,73.5,S
387,0,46.9,S
388,1,13.0,S
389,0,7.7292,Q
390,1,12.0,C
391,1,120.0,S
392,1,7.7958,S
393,0,7.925,S
394,1,113.275,C
395,1,16.7,S
396,0,7.7958,S
397,0,7.8542,S
398,0,26.0,S
399,0,10.5,S
400,1,12.65,S
401,1,7.925,S
